2061|2011-08-17T14:26:59.961+0000|92.39.58.88|Chrome|yes|3
1234|2011-08-17T14:26:59.961+0000|92.39.58.88|Chrome|yes|3
1236950581249|2011-08-17T14:26:59.961+0000|92.39.58.88|Chrome|yes|3
1236950581250|2011-08-17T11:10:21.570+0000|213.55.127.9|Internet Explorer|thanks|6
2061584302085|2012-07-20T05:22:51.283+0000|213.55.127.9|Internet Explorer|LOL|3
2061584302086|2012-07-20T16:55:45.373+0000|213.55.127.9|Internet Explorer|I see|5
2061584302087|2012-07-20T04:34:17.500+0000|213.55.127.9|Internet Explorer|fine|4
2061584302088|2012-07-20T17:35:11.096+0000|92.39.58.88|Chrome|right|5
2061584302089|2012-07-20T23:08:15.828+0000|204.79.128.176|Firefox|About George Frideric Handel, ful with hisAbout Erwin Rommel, mandy. As onAbout|79
2061584302090|2012-07-20T06:31:37.850+0000|92.39.58.88|Chrome|good|4
2061584302091|2012-07-21T03:07:22.319+0000|46.19.159.176|Safari|no|2
2061584302092|2012-07-21T01:39:21.227+0000|92.39.58.88|Chrome|About John Howard, died in combaAbout Isabella I of Castile, r right to thAbo|77
2061584302093|2012-07-21T16:46:08.628+0000|46.19.159.176|Safari|cool|4
2061584302094|2012-07-21T04:06:57.356+0000|46.19.159.176|Safari|About John Howard, uke of NorfoAbout Saint George,  Roman soldiAbout Isabella I of Castile|90
2061584302095|2012-07-21T13:15:31.146+0000|204.79.128.176|Firefox|good|4
2061584302096|2012-07-20T04:02:05.256+0000|92.39.58.88|Chrome|thx|3
2061584302097|2012-07-20T04:51:23.927+0000|204.79.128.176|Firefox|About Rupert Murdoch, ausing bitter iAbout Jane Austen, s Austen, Jane'About Kurt Vonn|86
2061584302098|2012-07-21T03:41:51.334+0000|212.39.114.248|Internet Explorer|good|4
2061584302099|2012-07-20T07:06:59.931+0000|92.39.58.88|Chrome|duh|3
2061584302100|2012-07-21T07:59:14.322+0000|213.55.127.9|Internet Explorer|About John Howard, attle of Bosworth About Jane Austen, personal and familAbout Eddie Mur|89
2061584302101|2012-07-20T22:43:01.281+0000|46.19.159.176|Safari|fine|4
2061584302102|2012-07-20T04:50:50.052+0000|46.19.159.176|Safari|About Rupert Murdoch, Rupert Murdoch, AC, KSG (bornAbout Yasser Arafat, hen he accepted UN Security CAbout Queen V|114
2061584302103|2012-07-20T06:26:26.311+0000|204.79.128.176|Firefox|About Rupert Murdoch, he bought The TAbout Jimmy Carter, reated: the DepAbout Ernest Hemi|89
1649267441689|2012-02-27T08:14:14.651+0000|46.19.159.176|Safari|no|2
1649267441690|2012-02-27T03:47:06.429+0000|46.19.159.176|Safari|great|5
1649267441691|2012-02-27T03:54:52.209+0000|213.55.127.9|Internet Explorer|About Oscar Wilde,  trial for groAbout Bob Hope, and movies. HeAbout Denzel Washi|81
1649267441692|2012-02-27T05:08:52.260+0000|213.55.127.9|Internet Explorer|About Oscar Wilde, leasure. Upon his relAbout Bob Hope, so noted for his workAbout Bono, n 29,500 and 50,000 iAbout Denzel Washington, ls of r|142
1649267441693|2012-02-27T03:49:09.182+0000|92.39.58.88|Chrome|cool|4
1649267441694|2012-02-27T07:07:51.176+0000|92.39.58.88|Chrome|roflol|6
1649267441695|2012-02-27T12:44:20.621+0000|46.19.159.176|Safari|cool|4
1786706395169|2012-03-21T18:44:14.027+0000|92.39.58.88|Chrome|About Genghis Khan, Making of the ModernAbout Elizabeth II, rity rebounded af|77
1786706395170|2012-03-22T00:08:22.860+0000|213.55.127.9|Internet Explorer|About Rupert Murdoch, 989) and The Wall SAbout Genghis Khan, ar more positive liAbout Ulys|90
1786706395171|2012-03-22T16:32:08.615+0000|213.55.127.9|Internet Explorer|no|2
1786706395172|2012-03-22T04:30:43.190+0000|46.19.159.176|Safari|LOL|3
1786706395173|2012-03-22T04:14:05.690+0000|92.39.58.88|Chrome|ok|2
1786706395174|2012-03-22T09:57:23.187+0000|213.55.127.9|Internet Explorer|thanks|6
1786706395175|2012-03-22T10:24:37.451+0000|46.19.159.176|Safari|About Rupert Murdoch,  keen to adopt newAbout Ulysses S. Grant, tion defending hisAbout |88
412316860457|2010-07-06T22:21:30.816+0000|213.55.127.9|Internet Explorer|yes|3
412316860458|2010-07-06T20:21:41.375+0000|213.55.127.9|Internet Explorer|About Rory Gallagher, s worldwide. Gallagher received a liver About The Gambia|78
412316860459|2010-07-06T21:06:49.427+0000|213.55.127.9|Internet Explorer|About Downtown Train, rsion of Downtown Train in 1989, but he opted not to release|82
412316860460|2010-07-06T21:37:20.221+0000|213.55.127.9|Internet Explorer|LOL|3
412316860461|2010-07-06T21:11:18.861+0000|213.55.127.9|Internet Explorer|good|4
412316860462|2010-07-06T20:22:33.390+0000|213.55.127.9|Internet Explorer|yes|3
412316860463|2010-07-06T23:30:26.189+0000|213.55.127.9|Internet Explorer|maybe|5
412316860464|2010-07-06T21:58:30.247+0000|213.55.127.9|Internet Explorer|About Rory Gallagher, , Gallagher recorded solo albums throughAbout Netherland|78
412316860465|2010-07-07T03:43:08.640+0000|213.55.127.9|Internet Explorer|About George Albert Boulenger, ber 1858 – 23 November 1937) was a Belgian-British zoologist who identified over 2,000 new|121
412316860466|2010-07-07T08:41:41.091+0000|213.55.127.9|Internet Explorer|About Alpocalypse, ord. Several of the tracks of Alpocalypse werAbout George Albert Boule|89
412316860467|2010-07-07T03:33:39.795+0000|213.55.127.9|Internet Explorer|ok|2
412316860468|2010-07-06T20:27:32.274+0000|213.55.127.9|Internet Explorer|About Rory Gallagher, instrumentalist, songwriterAbout Slovenia, Alps, the Dina|79
412316860469|2010-07-07T08:46:54.553+0000|213.55.127.9|Internet Explorer|roflol|6
412316860470|2010-07-06T20:43:29.503+0000|213.55.127.9|Internet Explorer|About Rory Gallagher, ces and dedication to his cAbout Beck, historical inaccuracies, whAbout Palestinia|104
412316860471|2010-07-07T05:00:04.204+0000|213.55.127.9|Internet Explorer|cool|4
962072674361|2011-04-14T05:20:46.802+0000|213.55.127.9|Internet Explorer|About Bertolt Brecht, rn; 10 FebruarAbout France,  Pierre-Louis About Dancing on My|83
962072674362|2011-04-14T05:06:21.773+0000|92.39.58.88|Chrome|LOL|3
962072674363|2011-04-14T16:19:24.928+0000|213.55.127.9|Internet Explorer|About Wayne Gretzky, area. In 19About Jawaharlal Nehru, the internaAbout C|74
962072674364|2011-04-14T12:02:40.641+0000|213.55.127.9|Internet Explorer|good|4
962072674365|2011-04-14T13:49:57.573+0000|92.39.58.88|Chrome|I see|5
962072674366|2011-04-14T22:04:44.616+0000|213.55.127.9|Internet Explorer|About Jawaharlal Nehru, – 27 May 1964About Gil Kane, areer spannedAbout Swit|76
962072674367|2011-04-14T06:03:41.392+0000|92.39.58.88|Chrome|About Benny Goodman,  the most popular musical groups in AmerAbout Iceland, th most productive country per capita. IA|117
962072674368|2011-04-14T14:23:59.878+0000|92.39.58.88|Chrome|About Haile Selassie I, ile SelassAbout Bertolt Brecht, t 1956) waAbout Ve|74
962072674369|2011-04-15T01:15:09.490+0000|213.55.127.9|Internet Explorer|good|4
962072674370|2011-04-15T13:09:10.210+0000|213.55.127.9|Internet Explorer|great|5
962072674371|2011-04-14T23:31:02.153+0000|46.19.159.176|Safari|no way!|7
962072674372|2011-04-14T21:13:11.914+0000|92.39.58.88|Chrome|cool|4
962072674373|2011-04-14T12:29:24.843+0000|213.55.127.9|Internet Explorer|About Diana, Princess of Wales, he president of the Great Ormond Street HospitAbout South Africa, elected in 1857, son of the famous VoortrekkerAbout Last Name,  the third single from|183
962072674374|2011-04-14T22:05:18.486+0000|46.19.159.176|Safari|great|5
1374389535138|2011-10-06T17:10:08.827+0000|193.34.198.27|Opera|About Sammy Sosa, er three seasons with About Alfred Hitchcock, on. Hitchocks reputati|86
1374389535139|2011-10-06T18:55:15.477+0000|31.130.237.152|Internet Explorer|thx|3
