933|1353
1129|519
4194|918
8333|211
8698|264
8853|512
10027|129
2199023256684|306
2199023261211|1027
2199023262818|1153
2199023262994|1014
2199023266220|1194
4398046512167|1062
4398046515995|1088
4398046516514|471
4398046521820|380
6597069767117|1227
6597069770517|1378
6597069771578|982
6597069771971|1253
6597069773260|754
6597069773744|800
6597069774931|806
6597069776841|425
6597069777326|239
6597069777454|891
8796093025056|1085
8796093025593|1113
8796093028089|995
8796093028412|1199
8796093030318|907
8796093031179|1287
10995116278700|879
10995116279792|726
10995116279952|620
10995116280047|793
10995116280480|553
10995116285020|1438
10995116285325|1080
13194139536109|1360
13194139539553|382
13194139541814|1337
13194139544176|1356
13194139544258|925
15393162791382|485
15393162793009|1263
15393162795040|467
15393162796879|1325
15393162797860|337
17592186045684|463
17592186048163|820
17592186048827|693
17592186048849|473
17592186049118|1059
17592186050570|1289
17592186051113|339
17592186053080|549
17592186054681|263
19791209301794|1195
19791209305935|482
19791209306628|1285
19791209307908|230
21990232556027|968
21990232556585|785
21990232558653|370
21990232559044|918
21990232560132|1062
21990232560726|743
21990232560950|792
21990232561712|640
21990232563931|747
21990232565814|756
21990232565924|862
24189255812290|724
24189255813101|350
24189255814220|1113
24189255815734|530
24189255816395|260
24189255818167|787
24189255818453|719
24189255819563|437
24189255821590|1214
26388279066636|1073
26388279074007|968
26388279074936|1259
28587302322727|876
28587302327472|574
28587302327895|309
28587302330379|1077
28587302330793|1234
28587302331372|721
30786325578904|1176
30786325580104|1208
30786325583274|778
30786325584323|507
30786325585602|1387
30786325586267|1281
30786325586438|1325
30786325586633|1350
32985348840129|925
32985348842922|956
32985348843775|699
32985348843944|576
2035|389
2099|793
3067|652
3601|116
7375|1192
2199023256181|139
2199023258430|1386
2199023258732|618
2199023260149|1218
2199023262021|924
2199023264241|277
2199023265107|1169
4398046511870|441
4398046513209|698
4398046515291|1044
4398046517793|548
4398046518021|994
4398046518355|432
6597069766983|1247
6597069770808|1325
6597069772777|460
6597069773276|682
6597069773901|943
6597069774386|649
6597069774399|1308
6597069775011|1295
6597069775498|1398
6597069775990|220
6597069775996|730
6597069776311|1203
8796093023060|1187
8796093024398|1075
8796093024830|163
8796093026215|402
8796093027255|1028
8796093027285|931
8796093027599|1218
8796093028953|841
10995116282255|993
